"animal_id","animal_type","breed","color","age_in_years","sex_upon_outcome","outcome_subtype","adoption_date","next_intake_date","return_type","churn_180_days_flag"
"A665743","Dog","Jack Russell Terrier/Chihuahua Shorthair","White/Brown","2.00","Neutered Male",NULL,"2015-12-12 14:19:00",NULL,NULL,0
"A665744","Dog","Boxer Mix","Fawn/White","0.25","Spayed Female","Foster","2013-10-27 17:07:00",NULL,NULL,0
"A665746","Dog","Basset Hound/Australian Cattle Dog","Tricolor","4.00","Neutered Male",NULL,"2013-12-04 19:07:00","2014-06-03 11:25:00","Stray",0
"A665750","Dog","Anatol Shepherd Mix","Red/White","0.17","Intact Male",NULL,"2013-10-26 18:04:00",NULL,NULL,0
"A665755","Dog","Pit Bull Mix","Blue/White","2.00","Spayed Female",NULL,"2013-12-01 13:16:00",NULL,NULL,0
"A665761","Dog","Pointer Mix","Black/White","0.33","Spayed Female",NULL,"2013-10-24 18:45:00",NULL,NULL,0
"A665762","Dog","Pointer Mix","Black/White","0.33","Neutered Male",NULL,"2013-10-24 18:45:00",NULL,NULL,0
"A665763","Dog","Cairn Terrier Mix","Tan/White","0.33","Neutered Male",NULL,"2013-10-26 18:32:00",NULL,NULL,0
"A665775","Dog","Labrador Retriever Mix","Black","0.83","Neutered Male",NULL,"2013-11-30 15:28:00",NULL,NULL,0
"A665778","Dog","Beagle Mix","White/Black","0.17","Neutered Male",NULL,"2013-10-27 18:05:00",NULL,NULL,0
"A665781","Dog","German Shepherd Mix","Brown/White","0.83","Neutered Male",NULL,"2013-10-28 16:32:00",NULL,NULL,0
"A665793","Dog","Australian Shepherd Mix","Black/White","0.92","Spayed Female",NULL,"2014-01-06 17:46:00",NULL,NULL,0
"A665794","Dog","Pit Bull/Boxer","Brown/White","7.00","Spayed Female",NULL,"2013-11-23 19:14:00",NULL,NULL,0
"A665799","Cat","Domestic Shorthair Mix","Orange Tabby","0.25","Neutered Male",NULL,"2013-11-01 19:24:00",NULL,NULL,0
"A665802","Cat","Domestic Shorthair Mix","Black Tabby","0.25","Neutered Male",NULL,"2013-11-01 19:24:00",NULL,NULL,0
"A665804","Cat","Domestic Shorthair Mix","Brown Tabby","0.33","Spayed Female","Foster","2013-12-10 13:23:00",NULL,NULL,0
"A665812","Dog","Black Mouth Cur Mix","Brown/Black","0.67","Spayed Female",NULL,"2013-11-01 18:51:00",NULL,NULL,0
"A665813","Dog","Miniature Poodle Mix","Apricot","6.00","Neutered Male",NULL,"2013-11-07 17:39:00",NULL,NULL,0
"A665831","Dog","Labrador Retriever/Pit Bull","Red","3.00","Neutered Male",NULL,"2016-12-15 18:42:00",NULL,NULL,0
"A665842","Cat","Domestic Shorthair Mix","Black","0.42","Spayed Female",NULL,"2013-11-29 14:32:00",NULL,NULL,0
"A665843","Cat","Domestic Shorthair Mix","Brown Tabby","0.33","Neutered Male",NULL,"2013-11-03 16:41:00",NULL,NULL,0
"A665861","Dog","Australian Shepherd Mix","White/Red","1.00","Spayed Female",NULL,"2013-10-28 17:59:00",NULL,NULL,0
"A665869","Dog","Border Terrier/Yorkshire Terrier","Brown","0.83","Neutered Male",NULL,"2013-11-03 15:31:00","2013-11-05 14:12:00","Owner Surrender",1
"A665869","Dog","Border Terrier/Yorkshire Terrier","Brown","0.83","Neutered Male",NULL,"2013-11-07 18:23:00",NULL,NULL,0
"A665870","Dog","Jack Russell Terrier/Beagle","Black/White","7.00","Spayed Female",NULL,"2013-12-07 13:38:00",NULL,NULL,0
"A665871","Cat","Domestic Shorthair Mix","Black","0.17","Neutered Male",NULL,"2013-11-06 16:05:00",NULL,NULL,0
"A665888","Dog","Staffordshire Mix","White","0.25","Spayed Female",NULL,"2013-10-29 19:13:00","2015-02-01 14:55:00","Owner Surrender",0
"A665889","Dog","Labrador Retriever Mix","Brown","0.17","Neutered Male",NULL,"2013-10-27 17:31:00",NULL,NULL,0
"A665890","Dog","Labrador Retriever Mix","Brown","0.17","Neutered Male",NULL,"2013-11-04 12:15:00",NULL,NULL,0
"A665891","Dog","Labrador Retriever Mix","Brown","0.17","Neutered Male",NULL,"2013-10-29 17:25:00",NULL,NULL,0
"A665896","Cat","Domestic Shorthair Mix","Orange Tabby","0.17","Spayed Female","Foster","2013-12-22 18:11:00",NULL,NULL,0
"A665898","Dog","Pit Bull Mix","Brown/White","1.00","Neutered Male",NULL,"2014-02-02 17:04:00",NULL,NULL,0
"A665906","Cat","Domestic Shorthair Mix","Black/White","1.00","Spayed Female",NULL,"2013-11-25 13:55:00",NULL,NULL,0
"A665907","Cat","Domestic Shorthair Mix","Brown Tabby/White","1.00","Neutered Male",NULL,"2013-11-15 19:02:00",NULL,NULL,0
"A665909","Dog","Miniature Pinscher Mix","Black/Tan","1.00","Neutered Male",NULL,"2013-10-30 14:40:00",NULL,NULL,0
"A665911","Cat","Domestic Shorthair Mix","Orange Tabby/White","0.17","Intact Male",NULL,"2013-10-28 18:06:00",NULL,NULL,0
"A665918","Dog","Flat Coat Retriever Mix","Black/White","0.83","Neutered Male",NULL,"2014-01-26 15:01:00","2014-02-08 17:10:00","Owner Surrender",1
"A665918","Dog","Flat Coat Retriever Mix","Black/White","0.92","Neutered Male",NULL,"2014-02-23 15:26:00",NULL,NULL,0
"A665927","Cat","Domestic Shorthair Mix","Cream Tabby","0.17","Neutered Male",NULL,"2013-12-03 15:40:00",NULL,NULL,0
"A665928","Cat","Domestic Shorthair Mix","Blue","0.17","Spayed Female",NULL,"2013-12-04 11:40:00",NULL,NULL,0
"A665929","Cat","Domestic Shorthair Mix","Blue Tabby","0.17","Neutered Male",NULL,"2013-12-01 15:41:00",NULL,NULL,0
"A665937","Cat","Domestic Shorthair Mix","Orange Tabby/White","2.00","Neutered Male",NULL,"2013-12-23 12:57:00",NULL,NULL,0
"A665972","Dog","Plott Hound Mix","Brown Brindle","0.42","Neutered Male",NULL,"2013-11-10 18:16:00",NULL,NULL,0
"A665973","Dog","Australian Cattle Dog Mix","Black/White","3.00","Spayed Female",NULL,"2013-11-27 14:54:00",NULL,NULL,0
"A665974","Dog","Australian Cattle Dog Mix","Blue Merle","0.17","Spayed Female",NULL,"2013-10-29 17:44:00",NULL,NULL,0
"A665975","Dog","Catahoula","Blue Merle/White","5.00","Spayed Female",NULL,"2013-11-09 13:32:00",NULL,NULL,0
"A665978","Dog","Pit Bull Mix","Black/White","2.00","Spayed Female",NULL,"2014-10-22 17:40:00",NULL,NULL,0
"A665979","Dog","German Shepherd Mix","Black/Tan","1.00","Neutered Male",NULL,"2013-10-30 17:20:00",NULL,NULL,0
"A665980","Dog","Labrador Retriever/Chinese Sharpei","Yellow","2.00","Spayed Female",NULL,"2013-12-28 14:56:00",NULL,NULL,0
"A665981","Dog","Chihuahua Longhair Mix","Buff","0.83","Spayed Female",NULL,"2013-11-04 14:51:00",NULL,NULL,0
"A665993","Dog","German Shepherd Mix","Black","0.58","Neutered Male",NULL,"2013-12-28 16:32:00","2017-01-15 12:46:00","Owner Surrender",0
"A665993","Dog","German Shepherd Mix","Black","3.00","Neutered Male",NULL,"2017-01-23 18:48:00",NULL,NULL,0
"A665994","Cat","Domestic Shorthair Mix","Calico","0.25","Intact Female",NULL,"2013-10-29 16:52:00","2013-10-30 13:11:00","Owner Surrender",1
"A665994","Cat","Domestic Shorthair Mix","Calico","0.25","Spayed Female",NULL,"2013-11-05 19:22:00",NULL,NULL,0
"A666001","Dog","Australian Shepherd Mix","Black/Tan","5.00","Spayed Female",NULL,"2013-10-31 18:02:00",NULL,NULL,0
"A666004","Dog","Miniature Schnauzer/Miniature Poodle","Sable/Tan","4.00","Spayed Female",NULL,"2013-10-30 18:36:00",NULL,NULL,0
"A666017","Dog","Chihuahua Shorthair Mix","Black/Tan","1.00","Spayed Female","Foster","2013-11-19 14:52:00",NULL,NULL,0
"A666032","Dog","Boxer Mix","Brown/White","0.58","Spayed Female",NULL,"2013-11-30 12:12:00",NULL,NULL,0
"A666034","Cat","Domestic Shorthair Mix","Torbie","0.17","Spayed Female",NULL,"2013-10-31 15:57:00",NULL,NULL,0
"A666035","Cat","Domestic Shorthair Mix","Black","0.17","Spayed Female",NULL,"2013-10-29 19:00:00",NULL,NULL,0
"A666043","Cat","Domestic Shorthair","Black","1.00","Neutered Male","Foster","2014-03-04 14:46:00",NULL,NULL,0
"A666050","Dog","Australian Cattle Dog Mix","Brown/White","1.00","Neutered Male","Foster","2013-11-02 18:50:00",NULL,NULL,0
"A666054","Dog","Chihuahua Shorthair Mix","Black/Tan","0.33","Spayed Female",NULL,"2013-10-31 17:35:00",NULL,NULL,0
"A666055","Dog","Chihuahua Shorthair Mix","Black/White","0.33","Neutered Male",NULL,"2013-11-01 13:56:00",NULL,NULL,0
"A666058","Cat","Domestic Shorthair Mix","Orange Tabby","0.17","Neutered Male",NULL,"2013-11-03 18:13:00",NULL,NULL,0
"A666059","Cat","Domestic Shorthair Mix","White/Orange Tabby","0.17","Neutered Male",NULL,"2013-11-05 12:54:00",NULL,NULL,0
"A666063","Cat","Domestic Shorthair Mix","Brown Tabby","0.42","Neutered Male","Foster","2013-12-06 13:00:00",NULL,NULL,0
"A666064","Cat","Domestic Shorthair Mix","Brown Tabby/White","0.17","Neutered Male",NULL,"2013-11-10 17:09:00",NULL,NULL,0
"A666065","Cat","Domestic Shorthair Mix","Brown Tabby/White","0.17","Spayed Female",NULL,"2013-11-09 18:14:00",NULL,NULL,0
"A666066","Cat","Domestic Shorthair Mix","Black/White","0.17","Spayed Female",NULL,"2013-11-24 17:25:00",NULL,NULL,0
"A666076","Cat","Domestic Shorthair Mix","Black","0.17","Neutered Male",NULL,"2013-10-31 16:46:00",NULL,NULL,0
"A666077","Cat","Domestic Shorthair Mix","Black","0.42","Spayed Female",NULL,"2014-02-01 17:59:00",NULL,NULL,0
"A666078","Cat","Domestic Shorthair Mix","Black","0.33","Neutered Male",NULL,"2013-12-14 18:50:00",NULL,NULL,0
"A666086","Cat","Domestic Medium Hair Mix","Orange Tabby","0.25","Neutered Male","Foster","2013-11-30 13:47:00",NULL,NULL,0
"A666087","Cat","Domestic Longhair Mix","Orange Tabby","0.25","Neutered Male","Foster","2013-12-02 17:08:00",NULL,NULL,0
"A666088","Cat","Domestic Longhair Mix","Orange Tabby","0.25","Neutered Male","Foster","2013-12-02 18:07:00",NULL,NULL,0
"A666089","Cat","Domestic Shorthair Mix","Orange Tabby","0.17","Neutered Male","Foster","2013-11-14 17:17:00",NULL,NULL,0
"A666090","Cat","Domestic Shorthair Mix","Orange Tabby","3.00","Spayed Female",NULL,"2013-12-05 19:05:00",NULL,NULL,0
"A666091","Cat","Domestic Medium Hair Mix","Black/White","0.17","Neutered Male","Foster","2013-12-06 15:54:00",NULL,NULL,0
"A666093","Dog","Labrador Retriever Mix","Black","3.00","Neutered Male",NULL,"2013-11-22 16:54:00",NULL,NULL,0
"A666094","Dog","Beagle/Cocker Spaniel","Black/White","4.00","Spayed Female",NULL,"2013-10-31 17:31:00",NULL,NULL,0
"A666097","Cat","Siamese Mix","Lynx Point","0.25","Neutered Male",NULL,"2013-11-01 16:19:00",NULL,NULL,0
"A666099","Dog","Labrador Retriever Mix","Yellow/White","8.00","Spayed Female",NULL,"2013-11-02 11:57:00","2013-12-05 13:13:00","Owner Surrender",1
"A666107","Dog","Great Pyrenees Mix","White/Brown","0.75","Neutered Male",NULL,"2013-11-01 17:19:00",NULL,NULL,0
"A666109","Cat","Domestic Shorthair Mix","Orange Tabby/White","0.25","Neutered Male",NULL,"2013-10-30 14:03:00",NULL,NULL,0
"A666110","Dog","Staffordshire Mix","Brown/Black","1.00","Spayed Female",NULL,"2014-03-01 16:54:00","2014-05-03 12:12:00","Owner Surrender",1
"A666110","Dog","Staffordshire Mix","Brown/Black","2.00","Spayed Female",NULL,"2015-01-17 16:37:00","2015-10-31 16:09:00","Owner Surrender",0
"A666110","Dog","Staffordshire Mix","Brown/Black","4.00","Spayed Female","Foster","2016-07-19 08:57:00","2017-09-26 10:00:00","Owner Surrender",0
"A666111","Cat","Domestic Shorthair Mix","Orange Tabby/White","0.25","Neutered Male",NULL,"2013-10-29 18:47:00",NULL,NULL,0
"A666117","Dog","Chihuahua Shorthair Mix","Tricolor","1.00","Neutered Male",NULL,"2013-11-03 18:31:00",NULL,NULL,0
"A666118","Dog","Chihuahua Shorthair Mix","Yellow","1.00","Neutered Male",NULL,"2013-10-31 18:42:00",NULL,NULL,0
"A666119","Dog","Labrador Retriever Mix","Yellow","0.33","Neutered Male",NULL,"2013-11-01 14:23:00",NULL,NULL,0
"A666123","Cat","Siamese Mix","Lynx Point","0.42","Neutered Male",NULL,"2013-10-31 17:35:00",NULL,NULL,0
"A666131","Cat","Domestic Shorthair Mix","Chocolate Point","0.17","Neutered Male",NULL,"2013-12-09 18:22:00",NULL,NULL,0
"A666132","Cat","Siamese Mix","Chocolate Point","0.17","Neutered Male",NULL,"2013-12-07 18:58:00",NULL,NULL,0
"A666133","Cat","Domestic Shorthair Mix","Chocolate Point","0.17","Spayed Female",NULL,"2013-12-09 18:32:00",NULL,NULL,0
"A666137","Dog","Harrier Mix","Tricolor","12.00","Spayed Female",NULL,"2013-11-15 17:50:00",NULL,NULL,0
"A666138","Cat","Domestic Longhair Mix","Brown Tabby","2.00","Spayed Female",NULL,"2013-12-29 15:39:00",NULL,NULL,0
"A666139","Dog","Pit Bull Mix","Black/White","1.00","Spayed Female",NULL,"2013-12-01 15:06:00",NULL,NULL,0
"A666144","Dog","Pit Bull Mix","Black","3.00","Neutered Male",NULL,"2013-11-03 15:56:00",NULL,NULL,0
"A666149","Dog","German Shepherd/Siberian Husky","Sable","1.00","Spayed Female","Foster","2013-11-25 13:35:00",NULL,NULL,0
"A666150","Dog","German Shepherd/Labrador Retriever","Black/White","0.08","Spayed Female","Foster","2013-11-19 12:08:00",NULL,NULL,0
"A666151","Dog","Chinese Sharpei Mix","White/Tan","0.42","Spayed Female",NULL,"2013-11-03 17:52:00",NULL,NULL,0
"A666154","Cat","Domestic Shorthair Mix","Calico","1.00","Spayed Female",NULL,"2013-12-27 13:15:00",NULL,NULL,0
"A666160","Cat","Domestic Shorthair Mix","White/Blue","0.25","Neutered Male","Foster","2013-12-28 17:16:00","2014-11-14 11:48:00","Owner Surrender",0
"A666161","Cat","Domestic Shorthair Mix","Blue Tabby","9.00","Neutered Male",NULL,"2013-12-05 19:16:00",NULL,NULL,0
"A666163","Cat","Domestic Shorthair Mix","Brown Tabby","0.17","Spayed Female",NULL,"2013-11-03 17:43:00",NULL,NULL,0
"A666167","Cat","Domestic Shorthair Mix","Orange Tabby/White","0.50","Spayed Female",NULL,"2013-12-07 18:47:00",NULL,NULL,0
"A666170","Dog","Chihuahua Shorthair Mix","Black/White","0.33","Spayed Female",NULL,"2013-11-03 17:44:00",NULL,NULL,0
"A666171","Dog","Labrador Retriever Mix","Black","0.17","Spayed Female",NULL,"2013-11-03 11:41:00",NULL,NULL,0
"A666177","Dog","American Pit Bull Terrier Mix","Blue/White","2.00","Neutered Male",NULL,"2013-11-03 15:10:00",NULL,NULL,0
"A666180","Dog","German Shepherd Mix","Brown","0.25","Neutered Male",NULL,"2013-11-01 17:51:00",NULL,NULL,0
"A666181","Dog","Australian Cattle Dog/Labrador Retriever","Red Merle/White","1.00","Neutered Male",NULL,"2013-11-10 16:49:00",NULL,NULL,0
"A666183","Dog","German Shepherd Mix","Brown","5.00","Spayed Female",NULL,"2013-11-12 19:07:00",NULL,NULL,0
"A666184","Cat","Domestic Shorthair Mix","Black/White","0.25","Neutered Male",NULL,"2013-11-11 16:37:00",NULL,NULL,0
"A666187","Dog","Australian Kelpie/Shiba Inu","Tricolor","0.83","Neutered Male",NULL,"2013-11-02 17:52:00",NULL,NULL,0
"A666194","Dog","German Shepherd/Labrador Retriever","Brown/Black","3.00","Neutered Male",NULL,"2013-11-04 17:02:00",NULL,NULL,0
"A666199","Cat","Domestic Medium Hair Mix","Orange Tabby","0.17","Neutered Male","Offsite","2013-12-15 18:07:00",NULL,NULL,0
"A666200","Cat","Siamese Mix","Lilac Point","0.33","Neutered Male",NULL,"2013-11-02 17:07:00",NULL,NULL,0
"A666204","Dog","Labrador Retriever Mix","Brown","1.00","Neutered Male","Foster","2013-12-08 16:08:00",NULL,NULL,0
"A666211","Cat","Domestic Shorthair Mix","Tortie","0.17","Spayed Female","Offsite","2013-11-17 18:03:00",NULL,NULL,0
"A666212","Cat","Domestic Shorthair Mix","Black","0.25","Neutered Male",NULL,"2013-12-24 14:14:00",NULL,NULL,0
"A666217","Dog","Keeshond Mix","Black/Brown","1.00","Spayed Female",NULL,"2013-12-06 11:15:00",NULL,NULL,0
"A666219","Dog","Labrador Retriever Mix","Black/White","0.67","Neutered Male",NULL,"2013-12-16 14:29:00",NULL,NULL,0
"A666220","Dog","English Bulldog/American Staffordshire Terrier","White/Tan","0.83","Spayed Female",NULL,"2013-11-06 15:51:00",NULL,NULL,0
"A666221","Dog","Beagle","Tricolor","2.00","Spayed Female",NULL,"2015-07-01 19:24:00","2015-08-09 12:04:00","Stray",1
"A666227","Cat","Domestic Shorthair Mix","Black","2.00","Spayed Female",NULL,"2013-11-05 18:12:00",NULL,NULL,0
"A666232","Bird","Pigeon Mix","Gray","1.00","Unknown",NULL,"2013-11-03 19:02:00",NULL,NULL,0
"A666234","Dog","Chihuahua Shorthair Mix","White/Brown Brindle","3.00","Spayed Female",NULL,"2014-01-20 13:05:00",NULL,NULL,0
"A666241","Dog","Boxer","Brown/White","1.00","Spayed Female",NULL,"2013-11-10 12:42:00",NULL,NULL,0
"A666242","Cat","Domestic Shorthair Mix","Brown Tabby","0.17","Neutered Male",NULL,"2013-11-04 18:30:00",NULL,NULL,0
"A666246","Dog","Labrador Retriever Mix","Black/White","0.67","Neutered Male",NULL,"2013-11-11 17:18:00",NULL,NULL,0
"A666255","Cat","Domestic Shorthair Mix","White/Brown Tabby","0.58","Spayed Female","Foster","2014-05-13 12:37:00",NULL,NULL,0
"A666258","Dog","Dachshund Mix","Red","13.00","Spayed Female",NULL,"2013-11-12 14:41:00",NULL,NULL,0
"A666259","Dog","Miniature Pinscher Mix","Black/Tan","11.00","Spayed Female",NULL,"2013-11-23 16:42:00",NULL,NULL,0
"A666262","Dog","Australian Cattle Dog Mix","Red Tick/Tan","5.00","Intact Female",NULL,"2013-11-10 14:39:00",NULL,NULL,0
"A666264","Dog","Australian Cattle Dog Mix","Red Tick/Brown Merle","0.17","Intact Female",NULL,"2013-11-01 19:07:00",NULL,NULL,0
"A666266","Dog","Pit Bull Mix","White/Black","0.42","Spayed Female",NULL,"2013-11-18 17:54:00",NULL,NULL,0
"A666281","Dog","Pit Bull","Brown/White","2.00","Neutered Male",NULL,"2013-11-05 17:30:00",NULL,NULL,0
"A666283","Dog","Pit Bull Mix","Brown Brindle/White","2.00","Spayed Female",NULL,"2014-02-22 12:22:00",NULL,NULL,0
"A666286","Cat","Domestic Shorthair Mix","Brown Tabby/White","0.17","Spayed Female","Offsite","2013-12-09 19:51:00",NULL,NULL,0
"A666287","Dog","American Bulldog Mix","White/Black","2.00","Neutered Male","Foster","2014-12-09 13:08:00",NULL,NULL,0
"A666288","Dog","Pug/Beagle","Black/White","2.00","Spayed Female",NULL,"2013-11-19 18:51:00",NULL,NULL,0
"A666299","Dog","Chihuahua Shorthair Mix","White/Black","2.00","Spayed Female",NULL,"2013-11-11 16:05:00",NULL,NULL,0
"A666311","Cat","Domestic Shorthair Mix","Black/White","0.25","Neutered Male",NULL,"2013-11-09 17:04:00",NULL,NULL,0
"A666312","Dog","Leonberger Mix","Brown Brindle/White","0.67","Neutered Male",NULL,"2013-11-03 17:28:00",NULL,NULL,0
"A666313","Dog","Leonberger Mix","Brown/White","0.67","Neutered Male",NULL,"2013-11-03 17:26:00",NULL,NULL,0
"A666317","Dog","Leonberger Mix","Tan/Black","0.17","Neutered Male",NULL,"2013-11-04 12:08:00",NULL,NULL,0
"A666320","Dog","Miniature Schnauzer Mix","Silver","2.00","Spayed Female",NULL,"2013-11-04 14:48:00",NULL,NULL,0
"A666321","Dog","Miniature Schnauzer Mix","Silver","2.00","Neutered Male",NULL,"2013-11-03 19:08:00",NULL,NULL,0
"A666322","Dog","Chihuahua Shorthair Mix","Tan/White","4.00","Spayed Female",NULL,"2013-11-03 17:20:00",NULL,NULL,0
"A666324","Dog","Basenji Mix","Red/White","1.00","Spayed Female",NULL,"2013-11-11 14:33:00",NULL,NULL,0
"A666325","Dog","Beagle Mix","Black/White","3.00","Neutered Male",NULL,"2013-11-11 11:45:00",NULL,NULL,0
"A666327","Cat","Domestic Shorthair Mix","Brown Tabby","0.17","Neutered Male",NULL,"2013-11-09 14:25:00",NULL,NULL,0
"A666328","Cat","Domestic Shorthair Mix","Brown Tabby","0.17","Spayed Female",NULL,"2013-11-10 18:33:00",NULL,NULL,0
"A666329","Cat","Domestic Shorthair Mix","Brown Tabby","0.17","Neutered Male",NULL,"2013-11-09 14:43:00",NULL,NULL,0
"A666330","Cat","Domestic Shorthair Mix","Brown Tabby","0.17","Spayed Female",NULL,"2013-11-10 15:18:00",NULL,NULL,0
"A666332","Cat","Siamese Mix","Lynx Point","0.17","Neutered Male",NULL,"2013-11-09 12:12:00",NULL,NULL,0
"A666337","Dog","Labrador Retriever/Beagle","Brown","4.00","Neutered Male",NULL,"2013-11-09 19:06:00",NULL,NULL,0
"A666343","Cat","Domestic Shorthair Mix","Blue/White","0.42","Spayed Female",NULL,"2013-12-19 14:12:00",NULL,NULL,0
"A666356","Dog","Yorkshire Terrier Mix","Black/Tan","0.50","Spayed Female",NULL,"2013-11-03 18:33:00",NULL,NULL,0
"A666358","Cat","Domestic Shorthair Mix","Brown Tabby","1.00","Spayed Female",NULL,"2013-11-10 16:12:00",NULL,NULL,0
"A666368","Dog","Labrador Retriever Mix","Black/White","2.00","Spayed Female",NULL,"2013-11-04 17:16:00",NULL,NULL,0
"A666371","Dog","Border Collie/Great Pyrenees","White/Black","1.00","Spayed Female",NULL,"2013-11-05 18:50:00","2014-10-03 18:24:00","Stray",0
"A666381","Cat","Domestic Longhair Mix","Black/White","7.00","Neutered Male","Foster","2013-12-16 12:52:00",NULL,NULL,0
"A666386","Cat","Siamese Mix","Lynx Point","0.50","Neutered Male",NULL,"2013-11-09 15:46:00",NULL,NULL,0
"A666395","Dog","Chihuahua Shorthair Mix","Black/Tan","2.00","Neutered Male",NULL,"2013-11-03 17:57:00",NULL,NULL,0
"A666397","Dog","German Shepherd Mix","Black/Tan","2.00","Neutered Male",NULL,"2013-11-10 17:51:00",NULL,NULL,0
"A666400","Dog","Miniature Pinscher","Black/Tan","8.00","Spayed Female","Foster","2014-01-29 13:20:00",NULL,NULL,0
"A666401","Dog","Chihuahua Shorthair Mix","Tricolor","8.00","Neutered Male","Foster","2014-01-29 13:20:00","2015-01-14 12:22:00","Owner Surrender",0
"A666401","Dog","Chihuahua Shorthair Mix","Tricolor","9.00","Neutered Male",NULL,"2015-01-17 14:00:00",NULL,NULL,0
"A666413","Dog","Cairn Terrier/Chihuahua Shorthair","Tan/White","2.00","Spayed Female","Foster","2013-11-20 14:46:00",NULL,NULL,0
"A666436","Cat","Domestic Shorthair Mix","Blue","0.83","Spayed Female",NULL,"2014-04-05 17:14:00",NULL,NULL,0
"A666445","Cat","Domestic Shorthair Mix","Blue Tabby/White","15.00","Neutered Male","Foster","2013-11-24 16:04:00",NULL,NULL,0
"A666450","Cat","Domestic Shorthair Mix","Brown Tabby","0.25","Neutered Male","Foster","2014-01-04 15:46:00",NULL,NULL,0
"A666451","Cat","Domestic Shorthair Mix","Brown Tabby","0.25","Neutered Male","Foster","2014-01-05 16:19:00",NULL,NULL,0
"A666454","Dog","Labrador Retriever/German Shepherd","Brown/White","2.00","Neutered Male",NULL,"2013-11-07 17:42:00","2013-11-20 14:10:00","Stray",1
"A666467","Cat","Domestic Shorthair","Orange Tabby/White","0.25","Spayed Female",NULL,"2013-11-26 16:18:00",NULL,NULL,0
"A666470","Dog","Belgian Malinois Mix","Tan/Black","1.00","Spayed Female",NULL,"2013-11-09 15:37:00",NULL,NULL,0
"A666473","Dog","Queensland Heeler Mix","Black/White","3.00","Spayed Female",NULL,"2013-11-07 12:45:00",NULL,NULL,0
"A666478","Dog","Miniature Schnauzer/Yorkshire Terrier","Black/White","1.00","Spayed Female",NULL,"2013-11-04 17:51:00",NULL,NULL,0
"A666479","Cat","Domestic Shorthair Mix","White/Orange","0.17","Spayed Female","Offsite","2014-01-06 13:14:00",NULL,NULL,0
"A666487","Dog","Australian Cattle Dog/Labrador Retriever","Brown/White","10.00","Neutered Male",NULL,"2013-11-24 14:38:00",NULL,NULL,0
"A666495","Dog","Jack Russell Terrier Mix","Tan","0.08","Intact Male",NULL,"2013-11-02 15:37:00",NULL,NULL,0
"A666498","Cat","Domestic Longhair Mix","Orange Tabby","5.00","Neutered Male",NULL,"2013-11-30 13:10:00","2014-06-08 11:05:00","Stray",0
"A666498","Cat","Domestic Longhair Mix","Orange Tabby","5.00","Neutered Male",NULL,"2014-07-30 17:22:00",NULL,NULL,0
"A666502","Dog","American Staffordshire Terrier Mix","Blue/White","1.00","Neutered Male",NULL,"2013-11-12 18:06:00",NULL,NULL,0
"A666503","Cat","Domestic Shorthair Mix","Orange Tabby/White","1.00","Spayed Female","Foster","2014-05-30 09:09:00",NULL,NULL,0
"A666508","Dog","Labrador Retriever Mix","Black","0.17","Spayed Female",NULL,"2013-11-07 18:53:00",NULL,NULL,0
"A666509","Dog","Labrador Retriever Mix","Yellow/White","0.17","Spayed Female",NULL,"2013-11-09 12:39:00",NULL,NULL,0
"A666510","Cat","Domestic Shorthair Mix","Black/White","0.17","Spayed Female",NULL,"2013-11-13 13:51:00",NULL,NULL,0
"A666512","Cat","Domestic Medium Hair Mix","Black","8.00","Neutered Male",NULL,"2013-12-07 18:54:00",NULL,NULL,0
"A666513","Dog","Dachshund Mix","Brown/White","0.50","Neutered Male",NULL,"2013-11-09 11:13:00",NULL,NULL,0
"A666514","Dog","Chow Chow/Labrador Retriever","Brown","2.00","Neutered Male",NULL,"2013-11-25 16:57:00",NULL,NULL,0
"A666521","Cat","Domestic Shorthair Mix","Brown Tabby","0.17","Neutered Male",NULL,"2013-11-11 11:50:00",NULL,NULL,0
"A666522","Dog","Pit Bull Mix","Blue","2.00","Spayed Female",NULL,"2013-11-15 15:54:00","2013-11-26 11:22:00","Owner Surrender",1
"A666524","Dog","Black/Tan Hound Mix","Black/Tan","2.00","Neutered Male",NULL,"2013-11-09 18:27:00",NULL,NULL,0
"A666539","Cat","Domestic Shorthair Mix","Blue/White","1.00","Spayed Female",NULL,"2014-02-22 17:32:00",NULL,NULL,0
"A666540","Dog","Chihuahua Shorthair Mix","Black/Tan","3.00","Neutered Male",NULL,"2013-11-07 12:26:00",NULL,NULL,0
"A666543","Dog","Chihuahua Shorthair/Dachshund","Red/White","2.00","Neutered Male",NULL,"2013-11-12 17:44:00","2013-11-26 12:54:00","Owner Surrender",1
"A666544","Dog","Chihuahua Shorthair/Dachshund","Red Merle/White","0.50","Spayed Female",NULL,"2013-11-09 13:21:00",NULL,NULL,0
"A666547","Dog","Chihuahua Shorthair Mix","Red/White","5.00","Spayed Female",NULL,"2013-12-14 12:31:00",NULL,NULL,0
"A666548","Dog","Australian Cattle Dog Mix","Red Tick","0.50","Neutered Male",NULL,"2013-11-10 17:05:00",NULL,NULL,0
"A666549","Dog","Miniature Poodle Mix","White","1.00","Spayed Female",NULL,"2013-11-07 19:06:00",NULL,NULL,0
"A666551","Cat","Domestic Shorthair Mix","Torbie","0.33","Spayed Female","Offsite","2014-01-19 11:02:00",NULL,NULL,0
